epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1723.48,1.16914,0.99688,1.28185,0.51226,0.43219,0.42906,0.21124,1.71464,1.58004,1.72805,0.000532733,0.000532733,0.000532733
63,1750.46,1.16708,1.00039,1.25563,0.53488,0.44863,0.44111,0.21181,1.73185,1.48188,1.75791,0.000530532,0.000530532,0.000530532
64,1777.19,1.17074,1.02423,1.28358,0.51549,0.43886,0.4368,0.21181,1.70558,1.51912,1.72935,0.000528331,0.000528331,0.000528331
65,1803.5,1.14731,0.97262,1.2345,0.53129,0.42573,0.4332,0.20988,1.71225,1.57134,1.72646,0.00052613,0.00052613,0.00052613
66,1830.39,1.16488,0.97122,1.24485,0.53268,0.43528,0.43783,0.21112,1.72572,1.54428,1.74789,0.000523928,0.000523928,0.000523928
67,1857.19,1.15671,0.96478,1.2682,0.54752,0.45766,0.4643,0.22794,1.69747,1.49495,1.72854,0.000521727,0.000521727,0.000521727
68,1884.36,1.17411,0.96293,1.24712,0.52634,0.44688,0.44407,0.21259,1.72256,1.51902,1.74995,0.000519526,0.000519526,0.000519526
69,1911.92,1.12303,0.92325,1.21799,0.52244,0.45673,0.44292,0.21666,1.72493,1.49842,1.74805,0.000517325,0.000517325,0.000517325
70,1939.41,1.16083,0.9648,1.23894,0.56299,0.4442,0.45534,0.21877,1.74147,1.48983,1.75726,0.000515124,0.000515124,0.000515124
71,1966.72,1.12598,0.95454,1.23529,0.53411,0.45404,0.45469,0.22172,1.70448,1.49028,1.736,0.000512923,0.000512923,0.000512923
72,1993.58,1.12948,0.94392,1.21901,0.55053,0.45732,0.45489,0.21996,1.70669,1.46583,1.74856,0.000510722,0.000510722,0.000510722
73,2020.9,1.09762,0.92618,1.22014,0.54584,0.45999,0.44656,0.21419,1.73117,1.47264,1.75063,0.000508521,0.000508521,0.000508521
74,2048.4,1.12769,0.92542,1.23155,0.5216,0.4715,0.44858,0.21524,1.70037,1.49396,1.73293,0.00050632,0.00050632,0.00050632
75,2075.64,1.15039,0.92668,1.22248,0.51969,0.44758,0.44004,0.20851,1.70494,1.47761,1.7241,0.000504119,0.000504119,0.000504119
76,2102.87,1.11901,0.90473,1.21952,0.52997,0.46066,0.44785,0.21473,1.71996,1.49362,1.73355,0.000501917,0.000501917,0.000501917
77,2129.71,1.1362,0.96239,1.22176,0.5476,0.46442,0.45744,0.22074,1.708,1.48966,1.71829,0.000499716,0.000499716,0.000499716
78,2157.31,1.13548,0.92026,1.22321,0.56233,0.46056,0.46089,0.22135,1.71697,1.48902,1.74156,0.000497515,0.000497515,0.000497515
79,2184.41,1.08687,0.90827,1.21159,0.55787,0.46524,0.46294,0.2266,1.70158,1.49755,1.73446,0.000495314,0.000495314,0.000495314
80,2210.79,1.11627,0.91782,1.23686,0.55179,0.45561,0.46174,0.22578,1.69651,1.4961,1.72405,0.000493113,0.000493113,0.000493113
81,2237.71,1.09382,0.91085,1.21738,0.58141,0.45679,0.47262,0.22868,1.69832,1.43839,1.73481,0.000490912,0.000490912,0.000490912
82,2264.71,1.09483,0.90931,1.20921,0.54182,0.46603,0.46452,0.2225,1.70673,1.44744,1.74679,0.000488711,0.000488711,0.000488711
83,2291.2,1.11885,0.90024,1.20831,0.5668,0.47633,0.48257,0.23426,1.69127,1.4306,1.71801,0.00048651,0.00048651,0.00048651
84,2318.37,1.10296,0.88423,1.2245,0.5841,0.46148,0.47086,0.22714,1.70402,1.48229,1.72727,0.000484309,0.000484309,0.000484309
85,2345.87,1.06493,0.84754,1.18428,0.56507,0.46526,0.46362,0.22519,1.71602,1.48339,1.72942,0.000482108,0.000482108,0.000482108
86,2372.9,1.07728,0.85761,1.2119,0.56213,0.47569,0.47717,0.23267,1.69292,1.41982,1.72063,0.000479907,0.000479907,0.000479907
87,2400.01,1.06901,0.85694,1.19794,0.55898,0.47779,0.47458,0.22784,1.69414,1.43139,1.72248,0.000477705,0.000477705,0.000477705
88,2427.11,1.07921,0.87292,1.18953,0.56603,0.4452,0.46,0.22451,1.7109,1.52492,1.7391,0.000475504,0.000475504,0.000475504
